"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"1"	"ALAD; CPO"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI001"
"2"	"BMPR2; NOTCH3"	"Involved in the same disease;Same pathway"	"N.A."	"MicroRNAs in cancer;Signal Transduction"	"1"	"OLI002; OLI003"
"3"	"ABCC8; NOTCH3"	"Involved in the same disease;Same pathway"	"N.A."	"Disease"	"1"	"OLI004"
"4"	"ABCC8; SARS2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI005"
"5"	"SMAD1; TBX4"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI006"
"6"	"ADD3; KAT2B"	"Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI007"
"7"	"SLC34A1; SLC34A3"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"Sodium-coupled phosphate cotransporters;Transport of inorganic cations/anions and amino acids/oligopeptides;Disease;SLC-mediated transmembrane transport;Transport of small molecules;secretion and action;SLC transporter disorders;Type II Na+/Pi cotransporters;Parathyroid hormone synthesis;Disorders of transmembrane transporters"	"3"	"OLI008"
"8"	"CYP1B1; TEK"	"Involved in the same disease;Directly interacting;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI009; OLI010; OLI011; OLI012"
"9"	"GJB2; TMPRSS3"	"Involved in the same disease;Affecting the same tissue"	"N.A."	"N.A."	"1"	"OLI013; OLI060"
"10"	"PROKR2; WDR11"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI014; OLI1164"
"11"	"ATP6V0A4; ATP6V1B1"	"Directly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway;Similar function"	"(ATP6V0A4, ATP6V1B1)"	"Signaling by Receptor Tyrosine Kinases;Synaptic vesicle cycle;Phagosome;Metabolic pathways;Transport of small molecules;Oxidative phosphorylation;Immune System;Ion channel transport;Transferrin endocytosis and recycling;Rheumatoid arthritis;Iron uptake and transport;Innate Immune System;Collecting duct acid secretion;ROS and RNS production in phagocytes;Vibrio cholerae infection;Epithelial cell signaling in Helicobacter pylori infection;Insulin receptor recycling;Human papillomavirus infection;Signaling by Insulin receptor;Signal Transduction"	"2"	"OLI015"
"12"	"ANO5; COL6A2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI016"
"13"	"ANO5; SGCA"	"Involved in the same disease;Affecting the same tissue"	"N.A."	"N.A."	"1"	"OLI017"
"14"	"RNF216; SRA1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI018"
"15"	"FGFR1; POLR3A"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"1"	"OLI019; OLI1396"
"16"	"CHD7; PROP1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI020"
"17"	"GDNF; RET"	"Affecting the same tissue;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(GDNF, RET)"	"MAPK family signaling cascades;Nervous system development;Calcium signaling pathway;RET signaling;Axon guidance;RAF/MAP kinase cascade;Developmental Biology;Signal Transduction"	"2"	"OLI021"
"18"	"SQSTM1; TIA1"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI022"
"19"	"NRXN1; NRXN2"	"Involved in the same disease;Affecting the same tissue;Colocalization;Same pathway;Similar function"	"N.A."	"Neurexins and neuroligins;Protein-protein interactions at synapses;Neuronal System;Cell adhesion molecules"	"2"	"OLI023"
"20"	"MSH6; MUTYH"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(MSH6, MUTYH)"	"N.A."	"2"	"OLI024"
"21"	"AIRE; IRF8; LRBA; LYST; STXBP2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI025"
"22"	"MEFV; TRAP1"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI026"
"23"	"GEN1; WNT9B"	"Involved in the same disease;Affecting the same tissue;Same pathway;Similar function"	"N.A."	"N.A."	"3"	"OLI027; OLI028"
"24"	"GATA3; TBX6"	"N.A."	"N.A."	"N.A."	"0"	"OLI029"
